,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others
80,"WEST, Ben Hill County, Georgia",7000000US13017000002,10344.0,528.0,6154.0,3236.0,92.0,282.0,52.0,0.05104408352668213,0.5949342614075793,0.3128383604021655,0.008894044856921888,0.027262180974477957,0.005027068832173241
81,"019518 - ALAPAHA Voting District, Berrien County, Georgia",7000000US13019000518,1599.0,25.0,1199.0,298.0,0.0,66.0,11.0,0.015634771732332707,0.7498436522826767,0.18636647904940587,0.0,0.04127579737335835,0.0068792995622263915
82,"0191144 - RAY CITY Voting District, Berrien County, Georgia",7000000US13019001144,2099.0,171.0,1527.0,272.0,18.0,98.0,13.0,0.081467365412101,0.7274892806098142,0.12958551691281564,0.00857551214864221,0.046688899475940925,0.006193425440686041
83,"0191148 - UPPER TENTH Voting District, Berrien County, Georgia",7000000US13019001148,379.0,15.0,327.0,22.0,0.0,14.0,1.0,0.0395778364116095,0.862796833773087,0.05804749340369393,0.0,0.036939313984168866,0.002638522427440633
84,"0191157 - NASHVILLE Voting District, Berrien County, Georgia",7000000US13019001157,8673.0,315.0,6904.0,1114.0,36.0,266.0,38.0,0.03631961259079903,0.7960336677043699,0.12844459817825435,0.0041508128675198895,0.03066989507667474,0.004381413582382105
85,"0191329 - LOIS Voting District, Berrien County, Georgia",7000000US13019001329,985.0,67.0,850.0,23.0,3.0,39.0,3.0,0.06802030456852792,0.8629441624365483,0.023350253807106598,0.003045685279187817,0.03959390862944162,0.003045685279187817
86,"0191427 - NEW RIVER Voting District, Berrien County, Georgia",7000000US13019001427,782.0,56.0,666.0,21.0,7.0,23.0,9.0,0.07161125319693094,0.8516624040920716,0.026854219948849106,0.008951406649616368,0.029411764705882353,0.011508951406649617
87,"0191642 - ENIGMA Voting District, Berrien County, Georgia",7000000US13019001642,1984.0,294.0,1450.0,153.0,9.0,61.0,17.0,0.14818548387096775,0.7308467741935484,0.07711693548387097,0.0045362903225806455,0.030745967741935484,0.008568548387096774
88,"0191767 - LOWER TENTH Voting District, Berrien County, Georgia",7000000US13019001767,847.0,49.0,748.0,23.0,6.0,20.0,1.0,0.05785123966942149,0.8831168831168831,0.02715466351829988,0.0070838252656434475,0.023612750885478158,0.0011806375442739079
89,"0191819 - JORDAN Voting District, Berrien County, Georgia",7000000US13019001819,812.0,53.0,725.0,8.0,1.0,24.0,1.0,0.06527093596059114,0.8928571428571429,0.009852216748768473,0.0012315270935960591,0.029556650246305417,0.0012315270935960591
